SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
62,臺東,98.4,行政院環保署,2016-11-27
62,臺東,13.2,行政院環保署,2016-11-26
62,臺東,0,行政院環保署,2016-11-25
62,臺東,0.4,行政院環保署,2016-11-24
62,臺東,4.6,行政院環保署,2016-11-23
62,臺東,10.8,行政院環保署,2016-11-22
62,臺東,0.8,行政院環保署,2016-11-21
62,臺東,56,行政院環保署,2016-11-20
62,臺東,0,行政院環保署,2016-11-19
62,臺東,0,行政院環保署,2016-11-18
62,臺東,0,行政院環保署,2016-11-17
62,臺東,0.2,行政院環保署,2016-11-16
62,臺東,x,行政院環保署,2016-11-15
62,臺東,x,行政院環保署,2016-11-14
62,臺東,0,行政院環保署,2016-11-13
62,臺東,0,行政院環保署,2016-11-12
62,臺東,0,行政院環保署,2016-11-11
62,臺東,0,行政院環保署,2016-11-10
62,臺東,0,行政院環保署,2016-11-9
62,臺東,0,行政院環保署,2016-11-8
62,臺東,27.4,行政院環保署,2016-11-7
62,臺東,0,行政院環保署,2016-11-6
62,臺東,0,行政院環保署,2016-11-5
62,臺東,0,行政院環保署,2016-11-4
62,臺東,0,行政院環保署,2016-11-3
62,臺東,0,行政院環保署,2016-11-2
62,臺東,0,行政院環保署,2016-11-1
61,恆春,0,行政院環保署,2016-11-30
61,恆春,0.6,行政院環保署,2016-11-29
61,恆春,2.4,行政院環保署,2016-11-28
61,恆春,61.8,行政院環保署,2016-11-27
61,恆春,1,行政院環保署,2016-11-26
61,恆春,4.2,行政院環保署,2016-11-25
61,恆春,0,行政院環保署,2016-11-24
61,恆春,1.8,行政院環保署,2016-11-23
61,恆春,1.2,行政院環保署,2016-11-22
61,恆春,0,行政院環保署,2016-11-21
61,恆春,0,行政院環保署,2016-11-20
61,恆春,0.8,行政院環保署,2016-11-19
61,恆春,0,行政院環保署,2016-11-18
61,恆春,0,行政院環保署,2016-11-17
61,恆春,0,行政院環保署,2016-11-16
61,恆春,0,行政院環保署,2016-11-15
61,恆春,0,行政院環保署,2016-11-14
61,恆春,0,行政院環保署,2016-11-13
61,恆春,0,行政院環保署,2016-11-12
61,恆春,0,行政院環保署,2016-11-11
61,恆春,0,行政院環保署,2016-11-10
61,恆春,0,行政院環保署,2016-11-9
61,恆春,0.2,行政院環保署,2016-11-8
61,恆春,0.2,行政院環保署,2016-11-7
61,恆春,2.8,行政院環保署,2016-11-6
61,恆春,0,行政院環保署,2016-11-5
61,恆春,0,行政院環保署,2016-11-4
61,恆春,0.2,行政院環保署,2016-11-3
61,恆春,0,行政院環保署,2016-11-2
61,恆春,0,行政院環保署,2016-11-1
60,潮州,0,行政院環保署,2016-11-30
60,潮州,0,行政院環保署,2016-11-29
60,潮州,0.4,行政院環保署,2016-11-28
60,潮州,81.8,行政院環保署,2016-11-27
60,潮州,1.4,行政院環保署,2016-11-26
60,潮州,0,行政院環保署,2016-11-25
60,潮州,0,行政院環保署,2016-11-24
60,潮州,0.8,行政院環保署,2016-11-23
60,潮州,0.2,行政院環保署,2016-11-22
60,潮州,0,行政院環保署,2016-11-21
60,潮州,2.8,行政院環保署,2016-11-20
60,潮州,0,行政院環保署,2016-11-19
60,潮州,0,行政院環保署,2016-11-18
60,潮州,0,行政院環保署,2016-11-17
60,潮州,0,行政院環保署,2016-11-16
